norm_name,github_login,decision,source,note,decided_at
antoine thomas,ttoine,reject,auto,company @Prestashop/PHP ecosystem not Hyland; common name; no JVM repos,2026-06-27
christopher cacciatore,ChrisCacc,reject,auto,company PNNL (US national lab) vs ITs4U (Luxembourg); no JVM repos,2026-06-27
dominique nauroy,dnauroy,confirm,auto,distinctive name; sole candidate; Luxembourg Government speaker,2026-06-27
elise souvannavong,eliseSou,confirm,auto,very distinctive surname; sole exact-name candidate,2026-06-27
giorgi dalakishvili,Giorgi,reject,auto,Microsoft MVP + dotnet-foundation member; .NET not JVM,2026-06-27
giovanna monti,GiovannaMonti,confirm,auto,distinctive name; bio explicitly says speaks at conferences,2026-06-27
jerome wax,xblaster,confirm,auto,distinctive surname; 85 followers; sole candidate; Luxembourg conference,2026-06-27
laura schlosser,lauraschlosser,confirm,auto,distinctive name; login=fullname; sole candidate,2026-06-27
long le,longld,reject,auto,very common Vietnamese name; multiple unrelated candidates; no corroboration,2026-06-27
ukasz nowak,LukaszNowakPL,reject,auto,frontend freelancer bio; no JVM repos; multiple candidates,2026-06-27
marion chineaud,MarionChineaud,confirm,auto,distinctive name; login=fullname; sole candidate; Takima like other confirmed speakers,2026-06-27
pierre alaime,pal-odoo,confirm,auto,login contains odoo matching affiliation Odoo LU; sole candidate,2026-06-27
suzy zimmer,zimmersuzy,confirm,auto,distinctive name; sole candidate; Pictet Technologies Luxembourg,2026-06-27
victoire de lacharriere,victoireladreit,confirm,auto,distinctive name; sole candidate; Takima like other confirmed speakers,2026-06-27
zied ben abderrahim,ziedBenAbderrahim,confirm,auto,very distinctive name; login=fullname; sole candidate,2026-06-27
dov katz,dovkatz,reject,auto,company Oculus VR vs MORGAN STANLEY; no JVM repos; common name,2026-06-27
anshuman mishra,kanpuriyanawab,reject,auto,bio is Python/ML (TensorFlow/Keras); not JVM; no company match for Uber,2026-06-27
sean sullivan,seans3,reject,auto,candidate at Google not Grubhub; no JVM repos; common name with many cands,2026-06-27
devin thomson,devinthomson,reject,auto,company Collaborative Consulting vs TINDER; no JVM repos; 0 followers,2026-06-27
prince valluri,princevalluri,confirm,auto,distinctive surname Valluri; single dominant candidate; login matches name,2026-06-27
javiera laso,javieralaso,confirm,auto,distinctive name; login exact match; single candidate,2026-06-27
guadalupe aliseda canton,guadalupe-alican,confirm,auto,unique full hyphenated name; single candidate; exact name match,2026-06-27
rui abreu,rumaroab,reject,auto,Data Scientist at Imaginary Cloud not Meta; common Portuguese name; no JVM repos,2026-06-27
jonathan vogel,vogelbot,reject,auto,company unIQ vs AWS; no JVM repos; common name with multiple weak cands,2026-06-27
sanjana seetharam,sanjanas,confirm,auto,distinctive surname Seetharam; single candidate; login matches directly,2026-06-27
patrick vuong,patrickv77,confirm,auto,distinctive Vietnamese surname; 63 followers dominant over 0-follower runner-up; Moderne is JVM shop,2026-06-27
anthony collins,antorcol,reject,auto,no company/bio/JVM signal linking to Thales UK; profile empty,2026-06-27
ian callaghan,ianshk,reject,auto,no company/bio/JVM signal linking to Thales UK; 16 flw but empty profile,2026-06-27
anne currie,aecurrie,confirm,auto,bio 25+ year engineer matches known UK tech speaker; distinctive name,2026-06-27
mark erikson,markerikson,confirm,auto,5945 followers Redux maintainer at Replay.io; exact employer match,2026-06-27
kim fletcher,kvandrunen,reject,auto,GH name VanDrunen-Fletcher does not match Fletcher; 0 followers no signals,2026-06-27
stephen galbraith,nerdgency,reject,auto,empty profile; no company/bio/JVM signal for Capital One speaker,2026-06-27
mark hazell,mhazell,reject,auto,GH company Cisco does not match Devoxx UK affiliation; 0 followers,2026-06-27
ryan healey,RAHealey,reject,auto,GH company Tide Talk does not match LMAX Group; no JVM signals,2026-06-27
rob hopkins,radiorob,reject,auto,OpenBroadcaster/radio background wholly differs from Transition Network,2026-06-27
fabian klemm,klemmpnx,reject,auto,empty profile; no TNG or JVM signal,2026-06-27
jonas mayer,jonasmayer,reject,auto,GH company Treasure Data does not match TNG Technology Consulting,2026-06-27
derek mortimer,pyoio,confirm,auto,London consultant/platform engineer bio matches CECG speaker; distinctive profile,2026-06-27
anders noras,anoras,confirm,auto,distinctive Norwegian name with diacritic; 35 followers; login derived from name,2026-06-27
ixchel ruiz,IxchelNR,reject,auto,Nestle company wrong; correct match is ixchelruiz (Karakun AG am=true),2026-06-27
ixchel ruiz,ixchelruiz,confirm,auto,Karakun AG matches affiliation am=true; bio developer since 2000; 28 followers,2026-06-27
lennard schiefelbein,lsc0498,reject,auto,empty profile; no TNG or JVM signal; 0 followers,2026-06-27
melinda seckington,mseckington,confirm,auto,geeksoflondon and hackdaymanifesto orgs match known London tech speaker,2026-06-27
pooja subramanian,PoojaSubramanian,reject,auto,common name; no Thoughtworks or JVM signal; sparse profile,2026-06-27
barbara teruggi,barbara-teruggi,confirm,auto,Security Architect bio matches; distinctive name; sole candidate,2026-06-27
christian woerz,chwoerz,confirm,auto,distinctive German name; 52 followers; Fullstack Developer bio fits independent contractor,2026-06-27
aviva peisach,avivap,confirm,auto,"very distinctive name, sole matching candidate, speaker is Wix Backend Head",2026-06-27
josef goldstein,JosefGold,reject,auto,"no JVM repos, empty company/bio, name not distinctive enough without corroboration",2026-06-27
marcin apaj,mlapaj,reject,auto,"two candidates with same name, neither has iteratec affiliation or JVM repos",2026-06-27
mateusz nalepa,MateuszGrafik3D,reject,auto,"login suggests 3D/graphics domain not JVM, no JVM repos, 0 followers",2026-06-27
markus baumann,bionix,reject,auto,"company @akquinet vs MHP, common name, no JVM corroboration",2026-06-27
moritz besser,besserai,confirm,auto,"unique name, besser.ai company aligns with sustainability-AI affiliation",2026-06-27
patric betz,pb-attempto,reject,auto,"no bio/company, competing cand PatricBetz has AI-automation bio matching speaker",2026-06-27
stefan blum,DerBlum,reject,auto,"top cand stblmuc at iteratec, selected DerBlum has no info, no corroboration",2026-06-27
christian bobach,cbobach,reject,auto,"company @clearhaus vs HUK-Coburg, no JVM corroboration",2026-06-27
elmar borgmeier,ElmarBorgmeier,confirm,auto,"unique name, bio explicitly states Syngenio AG matching company field",2026-06-27
ronald brill,BrillBay,confirm,auto,"unusual name, single candidate, web-testing/open-source affiliation aligns",2026-06-27
daniel buza,BuzikMLG,reject,auto,bio says C++ Dev but speaker is Java developer and tech lead,2026-06-27
samantha casler,sc-girl-coder,confirm,auto,"rare name, single candidate, backend engineer affiliation plausible",2026-06-27
daniel chwat gogol,dc-g,confirm,auto,"very unique hyphenated name, single candidate",2026-06-27
john davies,john-davies,reject,auto,"common name, Java expert needs stronger corroboration, no company/JVM signal",2026-06-27
sven deichsel,SvenDeichsel,confirm,auto,unique name; companion login SvenDeichselMaterna confirms Materna affiliation,2026-06-27
zeljko dodlek,Zeljko-07,reject,auto,"company Tessell INC does not match Aiven, no JVM corroboration",2026-06-27
dan erez,danFromTelAviv,reject,auto,"bio is CV/speech R&D, speaker is Cloud/Serverless Backend — mismatch",2026-06-27
lukas essig,kokosnuss,confirm,auto,company @Atruvia matches speaker affiliation (Atruvia/IaC),2026-06-27
claire fautsch,claireNeo,confirm,auto,"rare name, single candidate, Joblift backend context plausible",2026-06-27
robin ferrari,zecka,confirm,auto,company SQLI Switzerland matches speaker affiliation,2026-06-27
hergy fongue,rjtch,confirm,auto,"very unusual name, single candidate, Finanz Informatik engineer",2026-06-27
christina framke,cgebken,confirm,auto,"rare name, single candidate, username likely reflects maiden name change",2026-06-27
uwe friedrichsen,ufried,confirm,auto,"unique German name, codecentric AG is well-known JVM company",2026-06-27
kai gellien,gftkign,confirm,auto,GitHub display name explicitly shows 'Kai Gellien @ GFT' matching affiliation,2026-06-27
robert glaser,youngbrioche,confirm,auto,"company Exxeta matches speaker affiliation, 32 followers",2026-06-27
michael graf,Michadelic,reject,auto,"common German name, SAP/Sports does not match Kotlin agile-consulting affiliation",2026-06-27
richard gross,RillyTheKid,reject,auto,"wrong candidate selected; Richargh (Richard Groß, IT Archeologist) is stronger match",2026-06-27
sascha gro,saschalev,reject,auto,top cand is saschagr; saschalev company The Real Insight does not match Mathema,2026-06-27
serafima gurevich,s-gurevich,confirm,auto,"rare name, single candidate, Java/Frontend affiliation plausible",2026-06-27
matthias hagele,anotherMatze,confirm,auto,"unusual name, single candidate, MEONDI GmbH context",2026-06-27
andreas hartmann,andreas-hartmann,reject,auto,"common German name, multiple candidates, @otto-ec lacks specific corroboration",2026-06-27
clemens helm,clemenshelm,confirm,auto,"unique name, 73 followers, full-stack craftsman bio, Helmcraft likely own company",2026-06-27
michael hofmann,kmhofmann,confirm,auto,"101 followers dominant over next (9), Java Enterprise expert affiliation aligns",2026-06-27
jonas hofmann,dogtype,reject,auto,"bio says PhD student at TU Darmstadt, speaker is professional developer",2026-06-27
marius hofmeister,MariusHof,confirm,auto,"unusual name, single candidate, Professor Webentwicklung context",2026-06-27
roland hu,ro14nd-talks,confirm,auto,"login ro14nd-talks clearly belongs to Roland Huß (presentations account), Java/K8s expert",2026-06-27
michael inden,Michaeli71,confirm,auto,"Michael Inden is known Java book author in Germany, 39 followers, single candidate",2026-06-27
mirza iqbal,mjmirza,confirm,auto,"rare name, 38 followers dominant, AI workflow focus aligns",2026-06-27
clemens jutte,jayonthenet,confirm,auto,"rare name, single candidate, Architect/cloud bio fits VMware/Humanitec context",2026-06-27
martin kalsow,martinkalsow2222,confirm,auto,"unusual name, single candidate, Tech Lead context plausible",2026-06-27
christoph kappel,unexist,confirm,auto,"51 followers dominant, unique name, single well-followed candidate",2026-06-27
niklas kappler,niklaskappler,confirm,auto,"login is full name, bio explicitly mentions @Meondi matching MEONDI context",2026-06-27
christian kehl,CKehl,reject,auto,"common German name, multiple unrelated candidates, no JVM/marketing corroboration",2026-06-27
christopher keibel,CKeibel,confirm,auto,"rare name, single candidate, AI Engineer bio aligns with tech speaker",2026-06-27
johannes kellner,johannes-kellner,confirm,auto,"unusual name, single candidate, Atruvia AG context",2026-06-27
christian kemper,ck3mp3r,reject,auto,"common name, multiple competing candidates including one at @atruvia; no clear winner",2026-06-27
simon kerler,namelessvoid,confirm,auto,"unusual name, single candidate, software architect/cloud focus aligns",2026-06-27
patrick kopp,PatersonKopp,confirm,auto,"unusual name, single name-matched candidate with company",2026-06-27
maria korneeva,mkorneeva1,reject,auto,"better match is korneevamg (alias-matched, frontend/Angular bio, 41 followers)",2026-06-27
michael kotten,michbeck100,confirm,auto,"unusual name, single candidate, Freelancer Java Enterprise profile aligns",2026-06-27
thomas kruse,thomaskruse,confirm,auto,"unusual name, single candidate, Java web expert affiliation plausible",2026-06-27
karsten lentzsch,KLentzsch,confirm,auto,JGoodies is famous Java Swing library — strongly corroborates Java-Design/UX expert,2026-06-27
malin litwinski,malinshirin,confirm,auto,"rare name, single candidate, Crown Agents Bank fintech context",2026-06-27
larry maccherone,lmaccherone,confirm,auto,"rare name, 65 followers, single candidate, DevSecOps/Agile expert",2026-06-27
moritz meid,MoritzMeid,confirm,auto,"Chainguard is container-security company, aligns with DevSecOps/K8s speaker",2026-06-27
cathrin moller,ProfCathrinMoeller,confirm,auto,"rare name, bio confirms IT consultant 10+ yrs teaching microservices matches TNG context",2026-06-27
diana montalion,dianamontalion,confirm,auto,"rare name, @MentrixGroup org, 9 followers dominant, systems architecture aligns",2026-06-27
sven muller,svenmueller,confirm,auto,"company commercetools GmbH matches affiliation, in commercetools org",2026-06-27
frank muller,suchasurge,confirm,auto,"26 followers, single full-name-matched candidate",2026-06-27
bjorn muller,muellerbjoern,confirm,auto,"unusual name, single candidate",2026-06-27
ikenna nwaiwu,ikenna,confirm,auto,unique first name matches own consulting company Ikenna Consulting,2026-06-27
manuel ottlik,manuelottlik,confirm,auto,"rare name, login is full name, cloud-native developer context",2026-06-27
sara pellegrini,saratry,confirm,auto,"unusual name, single candidate, 26 followers, distributed-arch affiliation",2026-06-27
daniel pfeiffer,mediabounds,reject,auto,"common German name, @gowithfloat company has no corroboration for public-sector RE",2026-06-27
natalie ramp,Schnapumpel13,reject,auto,"bio says Coding Bootcamps Europe, speaker is from jambit GmbH — mismatch",2026-06-27
sarah rayfuse,Moonunit27,confirm,auto,"rare name, single candidate, Sysco AS company",2026-06-27
maren reuter,MarenReuter,confirm,auto,"rare name, single candidate, Java-backend coach context",2026-06-27
thomas riedel,Thomas-Riedel,reject,auto,"bio says mathematics student TU Munich, speaker is at production company Droid Boy",2026-06-27
dominik rost,domrost,confirm,auto,"unusual name, login is short form, Full Flamingo tech company bio aligns",2026-06-27
markus schlegel,markschl,confirm,auto,"unusual name, WSL is Swiss research institute fitting formal-methods speaker",2026-06-27
alexander schluter,alexschlueter,reject,auto,"bio says PhD student mathematics WWU Münster, speaker is at Couchbase — mismatch",2026-06-27
jan schmidt,thaytan,reject,auto,"very common name, 169 followers but no company or JVM corroboration",2026-06-27
andy schmidt,bentreflection,reject,auto,"common name, no corroborating info for healthcare-architecture speaker",2026-06-27
daniel schmitz hubsch,DanielSchH,confirm,auto,"company Materna Information matches speaker affiliation, bio confirms same",2026-06-27
matthias schneider,dermatthias,reject,auto,"common name, top cand mschneider82 at retarus not HCL, selected dermatthias unconfirmed",2026-06-27
michael schock,mjschock,reject,auto,"bio says Georgia Tech AI/ML grad student, speaker is German banking software architect",2026-06-27
alexander schramm,Mindar,reject,auto,"bio says robotics/electronics/embedded, speaker is agile software architect — mismatch",2026-06-27
rene schroder,derrrey,confirm,auto,"unusual name, single candidate, self-employed agile coach",2026-06-27
sarah schuh,TraumSchuh,reject,auto,company Traum-Ferienwohnungen.de (vacation rentals) does not match org-consulting speaker,2026-06-27
katja schulke,katjaschulke,confirm,auto,"rare name, single candidate, data-analysis/AI context",2026-06-27
sven schuster,svenschuster,reject,auto,"top cand schustersv has no name info, common name, no corroboration",2026-06-27
shohre shaddelian,shohreh-sh,confirm,auto,"very unusual name, 11 followers, single dominant match",2026-06-27
aminata sidibe,wuschey,confirm,auto,"rare name, 12 followers, single candidate",2026-06-27
frank steimle,steimlfk,confirm,auto,"unusual name, single candidate, DDD/agile consulting context",2026-06-27
david tanzer,dtanzer,confirm,auto,"unusual name, 22 followers, single candidate, freelancer context",2026-06-27
jan thewes,JWThewes,confirm,auto,"unusual name, single candidate, AWS company, tech speaker context",2026-06-27
sergej tihonov,Sergej-Tihonov,confirm,auto,"rare name, single candidate, self-employed speaker",2026-06-27
frank tingle,ftingle,confirm,auto,company Sonatype (JVM/Maven security) strongly corroborates DevSecOps expert,2026-06-27
catalin tudose,seeq-ops,reject,auto,"selected login seeq-ops appears org/team account, CatalinTudose is better personal login",2026-06-27
gien verschatse,selketjah,confirm,auto,"rare Belgian name, @eightpointsquared org, 30 followers, DDD/architecture aligns",2026-06-27
christian voigt,christianvoigt,confirm,auto,"unusual name, 46 followers, single dominant candidate",2026-06-27
michael voss,Voss-Mike,reject,auto,"Premier Inc is US healthcare company, does not match German IT consultant context",2026-06-27
sandra warmbrunn,smily75,confirm,auto,"unusual name, bio explicitly says Java Software Developer DevOps Engineer",2026-06-27
hillel wayne,hwayne,confirm,auto,"well-known tech author, 881 followers, unique name, dominant match",2026-06-27
christian wenz,wenz,confirm,auto,"unusual spelling (wenz), 37 followers, web-security expert context",2026-06-27
maximilian worner,maxwoerner,confirm,auto,"unusual name, single candidate, DevOps/infrastructure context",2026-06-27
johannes wu,hansz84,reject,auto,"top cand is Wüstner not Wu, selected login hansz84 has no name match",2026-06-27
tim wullner,timwuellner,confirm,auto,"unusual name, single candidate, ML-integration web expert",2026-06-27
erkan yanar,erkules,confirm,auto,"unusual name, 138 followers, Linux/DevOps expert aligns perfectly",2026-06-27
aljosa vister,aljosavister,confirm,auto,unique Slovenian name exact match; company differs but plausible job change,2026-06-27
kristjan cuznar,CuAuPro,confirm,auto,email kristjancuznar0@gmail.com in bio confirms identity,2026-06-27
jan jez,it2314,reject,auto,two bare candidates with same name; top cand bio=IT student does not match aff IGEA d.o.o.,2026-06-27
marcin przepiorowski,pioro,confirm,auto,distinctive Polish name; 43 followers; @dbops aligns with database domain like Delphix,2026-06-27
petro velychko,petrceo,confirm,auto,distinctive Ukrainian name; single candidate; login petrceo suggests exec role,2026-06-27
neil chandler,neilchandler,confirm,auto,known Oracle DB expert; login=neilchandler; golf-travel second cand is clearly different person,2026-06-27
lucas hirschegger,lucashir,confirm,auto,distinctive name; single candidate; login lucashir is name abbreviation,2026-06-27
ariel david jancar,ariel-jancar,confirm,auto,distinctive Slovenian name with diacritic exact match; Celtra is real Slovenian tech company,2026-06-27
ales cadez,alscdz,confirm,auto,login alscdz is consonant abbreviation of Ales Cadez; distinctive Slovenian name,2026-06-27
ziga vaupot,zigavaupot,confirm,auto,login=full name concatenated; distinctive Slovenian name; SmartQ is real Slovenian co,2026-06-27
yvind isene,oisene,confirm,auto,bio=Oracle DBA+Kafka matches conference profile; Twitter=OyvindIsene in bio confirms; login=O+surname,2026-06-27
monika lewandowska,zabadragon,reject,auto,common Polish name; login zabadragon unrelated to name; bare profile with zero corroboration,2026-06-27
yishai beeri,yishaibeeri,confirm,auto,login=full name concatenated; distinctive name; CTO at LinearB is real tech company,2026-06-27
dani schnider,DSchnider,confirm,auto,login=D+Schnider matches initial+surname; Callista is real Swiss IT consulting firm,2026-06-27
gara,gaawal,reject,auto,"single-word handle; no bio, no JVM repos, no company — zero corroboration",2026-06-27
junhee lee,junh0328,reject,auto,profile: frontend dev at wrtn tech; speaker is from Casareal (Java training); wrong company and role,2026-06-27
shun watanabe,shika358,reject,auto,"common JP name; no company (speaker=NRI), no JVM repos; insufficient corroboration",2026-06-27
stephen chin,steveonjava,confirm,auto,login steveonjava strong JVM signal; orgs: JFXtras/visage-lang/scalafx/NightHacking/RaspberryPiWithJava confirm Java community figure,2026-06-27
takeshi miyajima,miyazi777,reject,auto,"no company, no bio, no JVM repos; speaker from SunArch not reflected in profile",2026-06-27
takumi endo,ENDOTAKUMI,reject,auto,"no company, no JVM repos; endo-cariot (company=Cariot Inc.) is a better match for speaker from Cariot",2026-06-27
toru takahashi,toru-takahashi,reject,auto,"bio: Director Customer Experience at Treasure Data; speaker says Backend Engineer; common JP name, no JVM repos",2026-06-27
wagyu,mukamikou,reject,auto,bio content is troll-like/concerning; no JVM repos; no corroboration,2026-06-27
yohei kajiro,y-kajiro,reject,auto,"0 followers, no bio, no company, no JVM repos; cannot confirm",2026-06-27
yoshihiko minami,nannany,reject,auto,"no company match (STORES not in profile), no JVM repos",2026-06-27
yuji nakagawa,yuji1919,reject,auto,"0 followers, no bio, no company, no JVM repos; common JP name",2026-06-27
yusuke saito,ysaito8015,reject,auto,common JP name; WealthNavi not in profile; no JVM repos,2026-06-27
yuya296,yuya296,confirm,auto,speaker handle yuya296 = GitHub login yuya296 (direct identity); affiliation: Enterprise Java Engineer in Financial Systems,2026-06-27
dan neciu,Cst2989,reject,auto,company Phallanx≠CareerOS; no JVM repos; bio=ReactJS Barcelona organizer,2026-06-27
luqman saeed,Luqmansaeed,reject,auto,bio=Just a Web Developer contradicts Payara technical writer; 0 followers; no JVM repos,2026-06-27
bowen feng,thebowenfeng,reject,auto,student at UMelb no JVM repos no Google connection,2026-06-27
dan kim,dandelin,reject,auto,common name; research scientist at TwelveLabs no JVM repos,2026-06-27
ian botsford,ianbotsf,confirm,auto,unique name + AWS company matches Amazon affiliation,2026-06-27
lena reinhard,lenareinhard,confirm,auto,bio says Speaker; unique name; sole candidate,2026-06-27
meike felicia hammer,meikefeliciah,confirm,auto,very distinctive full name exact match sole candidate,2026-06-27
