name,norm_name,affiliation
Tiffany Souterre,tiffany souterre,Senior Developer Advocate @AWS
Toni Noguera,toni noguera,"Mambu, Sr. Software Engineer"
Victor Rentea,victor rentea,Victor Rentea Consulting
Will Fleury,will fleury,"Head of Engineering, Zencoder"
Wladimir Szczerban,wladimir szczerban,MapTiler - Senior Developer Advocate
Wout Werkman,wout werkman,JetBrainer working on Kotlin Multiplatform Tooling as Software Developer
Gojko Adzic,gojko adzic,Neuri Consulting LLP
Usman Ahmad,usman ahmad,Grafana Labs
Mete Atamel,mete atamel,Software Engineer and Developer Advocate at Google
Paul Bakker,paul bakker,Netflix
Tim Berglund,tim berglund,Confluent
James Birnie,james birnie,Forrow.uk
Simon Brown,simon brown,
Piotr Ceranek,piotr ceranek,Allegro
Orysia Chuda - Rakowska,orysia chuda rakowska,Skills Boost
Holly Cummins,holly cummins,IBM
Bartosz Cytrowski,bartosz cytrowski,Dropbox
Tomasz Ducin,tomasz ducin,Bottega IT Minds
Pavol Dudrík,pavol dudrik,GlobalLogic Slovakia
Tevfik Ekici,tevfik ekici,Thermo Fisher Scientific
Zahra Fakoor Harehdasht,zahra fakoor harehdasht,EPLAN
Allison Farris,allison farris,Stripe
Artem Fast,artem fast,Revolut
Mary Fesenko,mary fesenko,Dropbox
Pasha Finkelshteyn,pasha finkelshteyn,BellSoft
Michał Furdyna,micha furdyna,Tesco Technology
Mario Fusco,mario fusco,IBM
Jakub Gajski,jakub gajski,j-labs
Willem Jan Glerum,willem jan glerum,
Michał Gniadek,micha gniadek,Ten Square Games
Sergès Goma,serges goma,Eveasoft
Gerrit Grunwald,gerrit grunwald,
Misko Hevery,misko hevery,Roblox
Sander Hoogendoorn,sander hoogendoorn,ibood.com
Dotan Horovits,dotan horovits,OpenSearch Ambassador
Wei Hu,wei hu,Oracle USA
Johan Hutting,johan hutting,ING
Mackenzie Jackson,mackenzie jackson,Aikido Security
Szymon Janikowski,szymon janikowski,Noesis Vision / Bottega IT Minds
Arnaud Jean,arnaud jean,AWS
Katarzyna Jurczak,katarzyna jurczak,
Agata Kabat,agata kabat,Building teams that everyone wants to work with
Heinz Kabutz,heinz kabutz,JavaSpecialists.eu
Radek Kargul,radek kargul,Lunatech
Joseph Katsioloudes,joseph katsioloudes,GitHub
Soroosh Khodami,soroosh khodami,Rabobank
Adam Król,adam krol,Watergate AI
Mateusz Kulewicz,mateusz kulewicz,Canonical
Mateusz Kwaśniewski,mateusz kwasniewski,Unleash
Guillaume Laforge,guillaume laforge,Developer Advocate for Google Cloud
Piotr Łaskawiec,piotr askawiec,Comsenity
Agnieszka Lasyk,agnieszka lasyk,Engineering Director @ActiveCampaign | Sustainable AI adoption leader & researcher | Ultrarunner
Emilia Lendzion-Barszcz,emilia lendzion barszcz,Snowflake
Katarzyna Leszczyńska-Bohdan,katarzyna leszczynska bohdan,kalebo
James Lewis,james lewis,Thoughtworks
Oleg Lobanov,oleg lobanov,Bitvavo
Andrzej Ludwikowski,andrzej ludwikowski,Akka
Grzegorz Łyczba,grzegorz yczba,Dropbox
Sohan Maheshwar,sohan maheshwar,AuthZed
Artem Makarov,artem makarov,Code Nomads
Sebastian Malaca,sebastian malaca,UBS
Tomasz Manugiewicz,tomasz manugiewicz,Grand Parade
Simon Maple,simon maple,Tessl
Jacek Marmuszewski,jacek marmuszewski,Let's Go DevOps
Jan Mazurek,jan mazurek,EPAM Systems
Natalia Mikołajek,natalia miko ajek,Jadźka Rysuje
Jacek Milewski,jacek milewski,Bottega IT Minds | Circle K
Gunnar Morling,gunnar morling,Confluent
Nicolai Parlog,nicolai parlog,Java Developer Advocate
Dawid Perdek,dawid perdek,Altium
Sven Peters,sven peters,AI Evangelist at Atlassian
Pawel Piwosz,pawel piwosz,UpCloud
Michał Poczwardowski,micha poczwardowski,Perspectiveship
Krzysiek Przekwas,krzysiek przekwas,Iver AB
Piotr Przybył,piotr przyby,Elastic
Daniel Raniz Raneland,daniel raniz raneland,factor10
Balkrishna Rawool,balkrishna rawool,ING Bank
Simon Ritter,simon ritter,Azul
Abdellfetah SGHIOUAR,abdellfetah sghiouar,Google Cloud
GRZEGORZ SZTANDERA,grzegorz sztandera,Commerzbank
Muhammed Salih Güler,muhammed salih guler,AWS
Marcin Samsonowski,marcin samsonowski,Deloitte
Christian Schabetsberger,christian schabetsberger,Finxit IT Solutions
Sven Sellen,sven sellen,TuxCare
Tomasz Skowroński,tomasz skowronski,
Piotr Śliwa,piotr sliwa,Hey Alfie
Szymon Sołtys,szymon so tys,Capgemini
Anna Spysz,anna spysz,Stripe
Malgorzata Stanibula,malgorzata stanibula,Nomagic
Martin Stefanko,martin stefanko,IBM
Maciej Strzelczyk,maciej strzelczyk,Google Cloud
Venkat Subramaniam,venkat subramaniam,
Paweł Szlendak Szlendi,pawe szlendak szlendi,Partyzanci Lubelszczyzny
Ryszard Szwajlik,ryszard szwajlik,j-labs
Sho Tanaka,sho tanaka,Snowflake
Diana Todea,diana todea,Developer Experience Engineer
Alexandre Touret,alexandre touret,Magellan
Adam Warski,adam warski,Sharing elegant solutions to everyday problems | Functional programmer | Blogger | OSS developer
Artur Wojnar,artur wojnar,MasterBorn
Mike Wojtyna,mike wojtyna,wojtyna.pl
Alina Yurenko,alina yurenko,Oracle
Sylwia Zabielska,sylwia zabielska,sylwiazabielska.pl
Paweł Żemła,pawe zem a,SAP
Ihor Zhuravlov,ihor zhuravlov,Sigma Software
Adam Bien,adam bien,Oracle
Simone de Gijt,simone de gijt,OpenValue
Guus de Wit,guus de wit,Software developer at adesso Netherlands
Hinse ter Schuur,hinse ter schuur,Senior Software Engineer at SDB Java
Paco van Beckhoven,paco van beckhoven,Hexagon
Marit van Dijk,marit van dijk,JetBrains
Adam Urban,adam urban,Camunda
Adina Panduru,adina panduru,Tchibo
Adina Rusu,adina rusu,Allianz Technology Romania
Adnan Olmez,adnan olmez,"AD/01, part of Ahold Delhaize"
Adrian Postelnicu,adrian postelnicu,Tchibo
Aleodor Tabarcea,aleodor tabarcea,Stripe
Alex Lakatos,alex lakatos,CTO Interledger Foundation
Alexander Günsche,alexander gunsche,Amazon Web Services
Alexandra Badea,alexandra badea,Talent Center & AI Apply Center
Alexandru Cozma,alexandru cozma,Lenovo
Alexandru Dejanu,alexandru dejanu,Alchemy
Alexandru Gheara,alexandru gheara,VOIS
Alexandru Gheorghe,alexandru gheorghe,Data Trail
Alexandru Oancea,alexandru oancea,AD/01
Alexandru-Cătălin Diniș,alexandru catalin dinis,BMW Techworks Romania
Ana-Maria Masoud,ana maria masoud,TQA Romania
Anca Grigoras,anca grigoras,Allianz Services Romania
Anca Luca,anca luca,InnovX
Anda Spataru,anda spataru,PPC Romania
Anders Lybecker,anders lybecker,Microsoft
Andreea Dragomirescu,andreea dragomirescu,Criteo R&D
Andreea Gulie,andreea gulie,BNP Paribas
Andreea Loredana Boghiu,andreea loredana boghiu,Publicis Sapient
Andreea Nate,andreea nate,ICF PCC
Andreea-Elena Bodea,andreea elena bodea,IONOS Romania
Andrei Ilie,andrei ilie,Bolt
Andrei Stanca,andrei stanca,Thales
Andrei Timofticiuc,andrei timofticiuc,Google
Barış Sarıalioğlu,bar s sar alioglu,TesterYou
Bianca Bărdaș,bianca bardas,Altstart Studio
Bogdan Agache,bogdan agache,Legion Technologies
Bogdan Burtea,bogdan burtea,AdsWizz
Bogdan Cioc,bogdan cioc,SAP
Bogdan Neacsu,bogdan neacsu,SGGSC
Bogdan Popescu,bogdan popescu,LSEG
Bogdan Stelea,bogdan stelea,Microsoft
Catalin Gheorghiu,catalin gheorghiu,EPAM Romania
Chris Armstrong,chris armstrong,SmartBear
Clara Popescu Brooks,clara popescu brooks,Homestead AI
Claudiu Gura,claudiu gura,ICF PCC
Consultantu Cristi,consultantu cristi,Independent
Corina Patachia,corina patachia,GitLab
Corina Stanescu,corina stanescu,P&G
Cosmin Argatu,cosmin argatu,SCOR
Cosmin Trandafir,cosmin trandafir,Bug Hunter
Cristian Cordos,cristian cordos,Amazon
Cristina Barbu,cristina barbu,SGGSC
Cristina Gurguta,cristina gurguta,INSUS
Dan Berbece,dan berbece,METRO.digital
Dan Mihailescu,dan mihailescu,Keysight Technologies
Dan Patrascu-Baba,dan patrascu baba,Atherio
Dan-Mihai Dinu,dan mihai dinu,SOLO
Daniel Costea,daniel costea,Author | Speaker | Trainer
Daniel Fifiita,daniel fifiita,BNP Paribas
Daniel Manolache,daniel manolache,Bitdefender
Daniela Prodan,daniela prodan,Microsoft Romania
Danny Preussler,danny preussler,SoundCloud
Diana Rusu,diana rusu,PPC Romania
Dinu-Stefan Rusu,dinu stefan rusu,CodingShadows
Dmytro Tereshchenko,dmytro tereshchenko,Sigma Software Group
Donny Wals,donny wals,donnywals.com
Dovile Gray,dovile gray,LSEG
Dr. Giulia R. Tufaro,dr giulia r tufaro,Filantropì Renactimento
Elena Hartup,elena hartup,ICF PCC
Emanuele Bartolesi,emanuele bartolesi,Xebia
Erik Wilde,erik wilde,Enterprise Strategy at Jentic: AI Enablement at Scale
Erika Dietrick,erika dietrick,Independent
Etienne Bernard,etienne bernard,NuMind
Evelin Bratu,evelin bratu,Allianz Services Romania
Fabiola Cazan,fabiola cazan,Vodafone Romania
Florentina Saizu,florentina saizu,MassMutual Romania
Florin Soare,florin soare,Accenture Romania
Gabriel Preda,gabriel preda,AdsWizz
Gabriela Pepino,gabriela pepino,ICF ACC
Gabriela Rosca,gabriela rosca,SMART HR Event & Joblee
Georg Dresler,georg dresler,Ray Sono
George Bărbulescu,george barbulescu,BCR
George Pătrășcan,george patrascan,Google
Georgeana Trofim,georgeana trofim,Booking.com
Gerard van Engelen,gerard van engelen,Obserfana
Gia Ciorabai,gia ciorabai,True Redesign
Haim Michael,haim michael,Trainer | Consultant
Hakan Meva,hakan meva,eMAG
Hakan Turkmenoglu,hakan turkmenoglu,Booking.com
Henning Schwentner,henning schwentner,"Coder, Coach und Consultant bei der WPS"
Horia Niculescu,horia niculescu,Google
Iman Zarrabian,iman zarrabian,Ipsos Askia
Ioana Chiorean,ioana chiorean,DevLead Stage
Iustin Dinca,iustin dinca,VOIS
Jeff Watkins,jeff watkins,"AI Consultant, expert in AI Security and humanising LLMs"
Jonathan Filogna,jonathan filogna,WA.Technology
Krisztián Papp,krisztian papp,Consultant @ Letscode Solutions
Laura Trotta,laura trotta,Elastic
Laurentiu Spilca,laurentiu spilca,Endava
Leena Liukkonen,leena liukkonen,Embassy of Finland Bucharest
Leonard Alexandru,leonard alexandru,Deloitte
Loredana Ninov,loredana ninov,eMAG
Lucian Popovici,lucian popovici,Bridging Gaps
Luiza Cicone,luiza cicone,Criteo R&D
Lukas Samuolis,lukas samuolis,Vinted
Marc Nuri,marc nuri,Red Hat LLC
Marian Andrei,marian andrei,Main Stage
Marius Costin,marius costin,eMAG
Marius Cristea,marius cristea,Amazon
Matei Misarca,matei misarca,Vodafone Romania
Mesut Durukal,mesut durukal,OMP
Mey Beisaron,mey beisaron,NVIDIA
Mihaela Gheorghe-Roman,mihaela gheorghe roman,Experienced Software Architect at Systematic
Mihaela Maciuca,mihaela maciuca,Cognizant
Mihaela Nica,mihaela nica,ICF PCC
Mihaela Niculae,mihaela niculae,eMAG
Mike Dolha,mike dolha,Web Stage & AI Product Stage
Mike Elsmore,mike elsmore,Moderator Mobile Stage
Mikko Paloheimo,mikko paloheimo,Paloheimo QA Mentorworks
Mircea Talu,mircea talu,Accesa
Mohamed Gamal,mohamed gamal,Vinted
Natalie Godec,natalie godec,Zencore
Nick Ciolpan,nick ciolpan,AI Stage
Nico Martin,nico martin,Hugging Face
Nicole McWilliams,nicole mcwilliams,Google
Nicoleta Țîrdea,nicoleta tirdea,Fagura
Niels Rogge,niels rogge,Hugging Face and ML6
Ömer Adigüzel,omer adiguzel,Lufthansa Group
Otto Fischer,otto fischer,MHP – A Porsche Company
Ovidiu Hupca,ovidiu hupca,METRO.digital
Ovidiu Popeti,ovidiu popeti,Cybersecurity Stage
Patrick Kua,patrick kua,Tech Lead Academy
Paul Ardeleanu,paul ardeleanu,Moderator AI BigData Stage
Paula Andrei,paula andrei,ICF ACC
Pekka Pönkänen,pekka ponkanen,Wolt
Petar Ivaylov Ivanov,petar ivaylov ivanov,Petar Ivanov Tech / T-Shaped Dev
Péter Szántó,peter szanto,reel8 Digital & AI Production House
Piotr Wicherski,piotr wicherski,UEFA
Radu Andries-Libotean,radu andries libotean,Allianz Technology Romania
Radu Stefan,radu stefan,Avaelgo
Radu Vunvulea,radu vunvulea,Fullstack & Cloud Stage
Rail Mazgutov,rail mazgutov,Booking.com
Raluca Minea,raluca minea,Microsoft
Raluca Negrea,raluca negrea,Bravva Angels
Rodica Farcas,rodica farcas,Horyzon Network
Roxana Mîțu,roxana mitu,Trend Consult
Sandra Ahlgrimm,sandra ahlgrimm,Microsoft
Sargis Sargsyan,sargis sargsyan,Align Technology
Silviu-Tudor Serban,silviu tudor serban,TCN
Simona Cabuz,simona cabuz,eMAG
Simona Șandru,simona sandru,Global Women TechLeaders
Sorin Mihăilescu,sorin mihailescu,Booking Holdings Romania
Stefan Mihai,stefan mihai,Independent
Steliana Moraru,steliana moraru,Women in Tech Hub
Sushant Rewaskar,sushant rewaskar,Microsoft
Teodora Musatoiu,teodora musatoiu,OpenAI
Thomas Mons,thomas mons,InThePocket
Tiberiu Anghel,tiberiu anghel,Noz Universe
Tiberius Hodoroaba,tiberius hodoroaba,Lenovo
Timo Salm,timo salm,Broadcom
Tom Colvin,tom colvin,Apptaura
Tomasz Fiechowski,tomasz fiechowski,Netflix
Vlad Laslau,vlad laslau,Keysight Technologies
Vlad Puescu,vlad puescu,eMAG
Vlad Valentin,vlad valentin,Quality Engineering & Automation Stage
Winston Liu,winston liu,Keysight Technologies
Maik Kingma,maik kingma,Principal Consultant @ the/experts.
Venkateshwaran Kumarasamy,venkateshwaran kumarasamy,"ABNAMRO, System Architect, IT Java Dev Engineer"
Piet van Dongen,piet van dongen,Software Architect & Software Engineering Consultant at OpenValue
Ario Afrashteh,ario afrashteh,Lead Engineer focusing on AI & Data
Viktor Gamov,viktor gamov,"Principal Developer Advocate, Confluent"
Alejandro Serrano Mena,alejandro serrano mena,JetBrains
Jago de Vreede,jago de vreede,Developer at TenneT
James Ward,james ward,AWS
Baruch Sadogursky,baruch sadogursky,Tessl AI
Susanne Pieterse,susanne pieterse,Open.nl Software Group
Lucía Conde-Moreno,lucia conde moreno,Head of AI Research & Software Engineer at Info Support B.V.
Michael Coté,michael cote,cote.io
Catherine Edelveis,catherine edelveis,BellSoft
Michaël Hompus,michael hompus,Architect @ Info Support | Microsoft MVP
Josh Long,josh long,the Spring team
Bouke Nijhuis,bouke nijhuis,CINQ ICT
Andrei Shakirin,andrei shakirin,Amazon Web Services
Marc Buma,marc buma,Owner - Bumos
Willem Meints,willem meints,Chief AI Architect/Microsoft AI MVP
Elena van Engelen,elena van engelen,Independent Senior Software Engineer
Ties van de Ven,ties van de ven,Alliander
Daniel Garnier-Moiroux,daniel garnier moiroux,Broadcom
Tom Cools,tom cools,Developer Relations Engineer @ Timefold
Rustam Mehmandarov,rustam mehmandarov,Passionate computer scientist
Milen Dyankov,milen dyankov,
Roberto Cortez,roberto cortez,IBM
Ioannis Kolaxis,ioannis kolaxis,
Jonathan Vila López,jonathan vila lopez,
Stefan Angelov,stefan angelov,
Ivan Yonkov,ivan yonkov,
Cay Horstmann,cay horstmann,San José State University
Johannes Bechberger,johannes bechberger,SAP SE
Christian Heitzmann,christian heitzmann,SimplexaCode AG
Marcin Chrost,marcin chrost,
Vadym Kazulkin,vadym kazulkin,
Emanuel Trandafir,emanuel trandafir,
Panche Chavkovski,panche chavkovski,
Kristiyan Stoyanov,kristiyan stoyanov,
Lyubomir Bozhinov,lyubomir bozhinov,
Viktoriya Kutsarova,viktoriya kutsarova,
Jordan Jovkov,jordan jovkov,
Thanos Stratikopoulos,thanos stratikopoulos,
Nayden Gochev,nayden gochev,
Alain Vagner,alain vagner,Information and press service of the Luxembourg Government
Alexei Bratuhin,alexei bratuhin,OpenValue
Annabelle Buffart,annabelle buffart,Llama Corp
Anouk Ruiz,anouk ruiz,
Antoine Thomas,antoine thomas,Hyland
Arnaud Cormier,arnaud cormier,European Commission
Aurelien Coget,aurelien coget,Plumber
Badr Kacimi,badr kacimi,Capgemini Belgium
Benjamin Parmentier,benjamin parmentier,Odoo LU
Camille Nigon,camille nigon,Red Hat
Christopher Cacciatore,christopher cacciatore,ITs4U
Clément Hurlin,clement hurlin,Independent Freelancer
Dominique Righetto,dominique righetto,Thales
Dominique Nauroy,dominique nauroy,Information and press service of the Luxembourg Government
Elise Souvannavong,elise souvannavong,Takima
Estéban Soubiran,esteban soubiran,Takima
Evangelista Tragni,evangelista tragni,Devoteam
Evelien Schellekens,evelien schellekens,Elastic
Fabrice Croiseaux,fabrice croiseaux,InTech
Giorgi Dalakishvili,giorgi dalakishvili,
Giovanna Monti,giovanna monti,Adelean
Guillaume Lours,guillaume lours,Docker
Helder Araujo Carneiro,helder araujo carneiro,ARHS Group Part of Accenture
Hussein Loubani,hussein loubani,CIAD
Ines Panker,ines panker,
Ivan Ponomarev,ivan ponomarev,Synthesized
Jens Knipper,jens knipper,OpenValue
Jérôme Wax,jerome wax,InTech
Ji Darwish,ji darwish,Lunatech
Julien Briault,julien briault,Cloud du Coeur
Laura Schlosser,laura schlosser,Amazon Web Services
Loic Mulder,loic mulder,ITs4U
Loïc Magnette,loic magnette,Oniryx
Loïc Tosser,loic tosser,Kalvad
Long Le,long le,Bpifrance
Lucian Precup,lucian precup,Adelean
Ludovic Lefebvre,ludovic lefebvre,Cdiscount
Łukasz Nowak,ukasz nowak,
Maarten Vandeperre,maarten vandeperre,Red Hat
Marek Dominiak,marek dominiak,Trainitek / Mintra / Sparkbyte Solutiond LTD
Marion Chineaud,marion chineaud,Takima
Martin Mazur,martin mazur,Mazur & Co
Nicolas Martignole,nicolas martignole,Back Market
Oussama Ghalbzouri,oussama ghalbzouri,Liip
Pasha Finkelshtein,pasha finkelshtein,BellSoft
Peter Velychko,peter velychko,"Freelance, currently ABN-AMRO"
Philippe Charrière,philippe charriere,Docker
Pierre Tomasina,pierre tomasina,Tomeris
Pierre Alaime,pierre alaime,Odoo LU
Pierre Charrasse,pierre charrasse,Pictet Technologies
Pierre Henriquet,pierre henriquet,
Pietro Mele,pietro mele,Adelean
Roland Weisleder,roland weisleder,arcNdev GmbH
Sébastien Heilig,sebastien heilig,HITS
Stéphane Robert,stephane robert,3DS Outscale
Suzy Zimmer,suzy zimmer,Pictet Technologies
Thomas Darimont,thomas darimont,Identity Tailor GmbH
Tine Kondo,tine kondo,SFEIR
Vadim Prudnikov,vadim prudnikov,Trainitek
Victoire De Lacharriere,victoire de lacharriere,Takima
Vincent Seynhaeve,vincent seynhaeve,Red Hat
Vincent Heuschling,vincent heuschling,Freelance
Voxxed Days Luxembourg Team,voxxed days luxembourg team,
Wouter Bauweraerts,wouter bauweraerts,The Beehive
Yannick Guern,yannick guern,Clever Cloud
Željko Kozina,zeljko kozina,Chronomill
Zied Ben Abderrahim,zied ben abderrahim,Capco
Dov Katz,dov katz,MORGAN STANLEY
Khalid Elsawaf,khalid elsawaf,MORGAN STANLEY
Dinesh Arora,dinesh arora,WELLS FARGO
Celal Ziftci,celal ziftci,GOOGLE
Eve Matthaey,eve matthaey,META
Anshuman Mishra,anshuman mishra,UBER
Roberto Perez Alcolea,roberto perez alcolea,NETFLIX
Benjamin Muschko,benjamin muschko,AUTOMATEDASCENT
Kiran Rouzie,kiran rouzie,THOUGHTWORKS
Jonathan Schneider,jonathan schneider,Moderne
Brian Houck,brian houck,DX
Kaushik Vejju,kaushik vejju,UBER
Aubrey Chipman,aubrey chipman,NETFLIX
Ellen DeWitt,ellen dewitt,SQUARESPACE
Rachel Laycock,rachel laycock,THOUGHTWORKS
Harald Aamot,harald aamot,SAP
Szczepan Faber,szczepan faber,AIRBNB
Stacey Watro,stacey watro,SQUARESPACE
Sean Sullivan,sean sullivan,GRUBHUB
Michael Carducci,michael carducci,
Devin Thomson,devin thomson,TINDER
Bryan Friedman,bryan friedman,MODERNE
Prince Valluri,prince valluri,LINKEDIN
Javiera Laso,javiera laso,THOUGHTWORKS
Guadalupe Aliseda-Canton,guadalupe aliseda canton,DUOLINGO
Marcin Osiecki,marcin osiecki,BNY
Ryan Trontz,ryan trontz,TINDER
Dania Valladares,dania valladares,STACKLOK
Anshuman Chadha,anshuman chadha,
Sung Yoon Whang,sung yoon whang,UBER
Rui Abreu,rui abreu,META
Nachi Nagappan,nachi nagappan,META
Vinicius Senger,vinicius senger,AWS
Jonathan Vogel,jonathan vogel,Amazon Web Services
Jonatan Dahl,jonatan dahl,SPOTIFY
Sanjana Seetharam,sanjana seetharam,SPOTIFY
Cory Lucas,cory lucas,AMERICAN EXPRESS
David Sanchez,david sanchez,MICROSOFT
Alex Kureen,alex kureen,MICROSOFT
Patrick Vuong,patrick vuong,MODERNE
Samuel Agbede,samuel agbede,Redis
Olena Babenko,olena babenko,Aiven OY
Christopher Batey,christopher batey,Core Engineering Consulting Group
Merlin Bögershausen,merlin bogershausen,Moderne
Sawyer Bowerman,sawyer bowerman,Red Hat
Anthony COLLINS,anthony collins,Thales UK
Ian Callaghan,ian callaghan,Thales UK
Roberto Carratala,roberto carratala,Red Hat
Madhura Chaganty,madhura chaganty,Elliptic
Anne Currie,anne currie,Strategically Green
Benjamin Dauvissat,benjamin dauvissat,Adelean
Rahul De,rahul de,Citibank
Raphael De Lio,raphael de lio,Redis
David Denton,david denton,
Iryna Dohndorf,iryna dohndorf,Karakun Group
Thomas Endres,thomas endres,TNG Technology Consulting GmbH
Mark Erikson,mark erikson,Senior Front-End Engineer at Replay.io
Kim Fletcher,kim fletcher,Devoxx UK
Vanessa Formicola,vanessa formicola,Flo Health
Stephen Galbraith,stephen galbraith,Capital One
Trisha Gee,trisha gee,Java Champion
Horacio Gonzalez,horacio gonzalez,Clever Cloud
Matthias Haeussler,matthias haeussler,
Mark Hazell,mark hazell,Devoxx UK
Ryan Healey,ryan healey,LMAX Group
Cheuk Ting Ho,cheuk ting ho,JetBrains
Marianne Hoornenborg,marianne hoornenborg,NLJUG and KVK (Dutch Chamber of Commerce)
Rob Hopkins,rob hopkins,Transition Network
Bilgin Ibryam,bilgin ibryam,Diagrid
Anupriya Johari,anupriya johari,Simple Machines
Vojin Jovanovic,vojin jovanovic,Oracle
Paula Kennedy,paula kennedy,Syntasso
Legare Kerrison,legare kerrison,Red Hat
Ramanpreet Singh Khinda,ramanpreet singh khinda,LinkedIn
Fabian Klemm,fabian klemm,TNG Technology Consulting GmbH
Michael Krimgen,michael krimgen,Postcode Lottery
Ian Lawson,ian lawson,Red Hat
Mihailo Markovic,mihailo markovic,Oracle
Jules May,jules may,22 Consulting Ltd
Jonas Mayer,jonas mayer,TNG Technology Consulting
Paulo Menon,paulo menon,Red Hat
Derek Mortimer,derek mortimer,CECG
Maarten Mulders,maarten mulders,
Frank Munz,frank munz,Databricks
Alexey Naiden,alexey naiden,Cloud Linux
Diana Nanuti,diana nanuti,Chainalysis
Dennis Nerush,dennis nerush,Elementor
Alexey Nesterov,alexey nesterov,BeZero Carbon
Anders Norås,anders noras,Accenture
GONZALO ORTIZ JAUREGUIZAR,gonzalo ortiz jaureguizar,Startree Inc
Daniel Oh,daniel oh,Red Hat
Pratik Patel,pratik patel,Azul Systems
José Paumard,jose paumard,Oracle
Stéphane Philippart,stephane philippart,OVHcloud
Carly Richmond,carly richmond,Elastic
Ixchel Ruiz,ixchel ruiz,
Lennard Schiefelbein,lennard schiefelbein,TNG Technology Consulting
Simon Schrottner,simon schrottner,CNCF Ambassador | Senior Software Engineer & Team Captain @Dynatrace
Marc Schuh,marc schuh,TNG Technology Consulting
Nate Schutta,nate schutta,Thoughtworks
Melinda Seckington,melinda seckington,Learn Build Share
Oleg Šelajev,oleg selajev,Docker
Gantigmaa Selenge,gantigmaa selenge,IBM
Filip Srnec,filip srnec,Infobip
Kate Stanley,kate stanley,IBM
Pooja Subramanian,pooja subramanian,Thoughtworks
Bárbara Teruggi,barbara teruggi,
Heather Thacker,heather thacker,Gatling
Simon Vergauwen,simon vergauwen,JetBrains
